,weighted_score
PA-19,0.002178649237472767
MS-05,0.004357298474945534
IL-04,0.006535947712418301
VA-03,0.008714596949891068
TN-01,0.010893246187363835
UT-01,0.013071895424836602
CO-05,0.015250544662309368
IL-07,0.017429193899782137
PA-02,0.0196078431372549
TX-30,0.02178649237472767
NC-06,0.023965141612200435
IL-01,0.026143790849673203
NY-16,0.02832244008714597
WA-07,0.030501089324618737
MO-01,0.032679738562091505
TX-18,0.034858387799564274
PA-20,0.037037037037037035
NJ-10,0.0392156862745098
MI-05,0.04139433551198257
OH-11,0.04357298474945534
IL-03,0.0457516339869281
WI-05,0.04793028322440087
TN-02,0.05010893246187364
WI-09,0.05228758169934641
CA-53,0.054466230936819175
NJ-04,0.05664488017429194
TX-15,0.058823529411764705
CA-37,0.06100217864923747
SC-04,0.06318082788671024
NC-12,0.06535947712418301
CA-13,0.06753812636165578
NY-28,0.06971677559912855
CA-38,0.0718954248366013
UT-03,0.07407407407407407
FL-01,0.07625272331154684
FL-05,0.0784313725490196
WA-04,0.08061002178649238
PA-01,0.08278867102396514
OH-09,0.08496732026143791
AR-03,0.08714596949891068
TX-09,0.08932461873638345
WI-06,0.0915032679738562
FL-11,0.09368191721132897
CA-43,0.09586056644880174
TX-16,0.09803921568627451
IN-10,0.10021786492374728
NC-01,0.10239651416122005
FL-03,0.10457516339869281
NE-01,0.10675381263616558
MI-13,0.10893246187363835
PA-14,0.1111111111111111
FL-17,0.11328976034858387
IA-05,0.11546840958605664
TX-34,0.11764705882352941
MI-02,0.11982570806100218
FL-06,0.12200435729847495
GA-07,0.12418300653594772
OH-17,0.12636165577342048
PA-16,0.12854030501089325
GA-04,0.13071895424836602
TX-27,0.1328976034858388
TX-36,0.13507625272331156
MD-07,0.13725490196078433
CA-35,0.1394335511982571
WI-04,0.14161220043572983
NY-30,0.1437908496732026
FL-04,0.14596949891067537
CA-02,0.14814814814814814
MS-04,0.1503267973856209
CA-32,0.15250544662309368
OH-05,0.15468409586056645
PA-05,0.1568627450980392
NC-03,0.15904139433551198
NY-09,0.16122004357298475
FL-10,0.16339869281045752
MI-03,0.1655773420479303
TX-13,0.16775599128540306
NE-03,0.16993464052287582
IL-15,0.1721132897603486
FL-14,0.17429193899782136
VA-01,0.17647058823529413
OR-04,0.1786492374727669
MO-05,0.18082788671023964
CO-01,0.1830065359477124
GA-05,0.18518518518518517
OK-06,0.18736383442265794
CA-06,0.1895424836601307
CA-16,0.19172113289760348
TX-04,0.19389978213507625
TX-29,0.19607843137254902
CA-34,0.19825708061002179
OH-19,0.20043572984749455
RI-02,0.20261437908496732
MA-10,0.2047930283224401
OK-03,0.20697167755991286
IN-03,0.20915032679738563
MN-04,0.2113289760348584
TN-05,0.21350762527233116
OH-03,0.21568627450980393
IN-04,0.2178649237472767
CA-19,0.22004357298474944
NY-06,0.2222222222222222
WY-01,0.22440087145969498
CA-42,0.22657952069716775
GA-09,0.22875816993464052
AZ-04,0.23093681917211328
NY-31,0.23311546840958605
TX-26,0.23529411764705882
OR-03,0.2374727668845316
TX-31,0.23965141612200436
KY-05,0.24183006535947713
TX-20,0.2440087145969499
CA-33,0.24618736383442266
NY-12,0.24836601307189543
MN-07,0.25054466230936817
LA-02,0.25272331154684097
WA-09,0.2549019607843137
NC-04,0.2570806100217865
VA-04,0.25925925925925924
TX-07,0.26143790849673204
IL-20,0.2636165577342048
NM-03,0.2657952069716776
VT-01,0.2679738562091503
AZ-07,0.2701525054466231
MD-06,0.27233115468409586
MD-03,0.27450980392156865
AL-04,0.2766884531590414
NY-11,0.2788671023965142
IN-05,0.28104575163398693
TX-02,0.28322440087145967
AZ-06,0.28540305010893247
CA-51,0.2875816993464052
NY-22,0.289760348583878
WV-03,0.29193899782135074
FL-15,0.29411764705882354
NY-05,0.2962962962962963
MA-02,0.2984749455337691
MA-01,0.3006535947712418
TX-08,0.3028322440087146
SC-03,0.30501089324618735
OK-01,0.30718954248366015
MO-04,0.3093681917211329
FL-21,0.3115468409586057
AL-02,0.3137254901960784
NY-21,0.3159041394335512
GA-10,0.31808278867102396
GA-03,0.3202614379084967
CT-03,0.3224400871459695
CA-17,0.32461873638344224
NJ-11,0.32679738562091504
GA-01,0.3289760348583878
FL-12,0.3311546840958606
MD-02,0.3333333333333333
CA-48,0.3355119825708061
IL-02,0.33769063180827885
SC-01,0.33986928104575165
MD-04,0.3420479302832244
GA-14,0.3442265795206972
CA-46,0.3464052287581699
CA-40,0.3485838779956427
TX-03,0.35076252723311546
