cycle,id,candidate_name,party,state,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2000,N00005009,Richmond A Soluade Sr,R,MO,1, ,Y,RL,,,0,
1996,N00004126,Mark Alan Behnke,R,MI,7, , ,RN,,,0,0
1996,N00000718,Jim Ford,R,NJ,10, , ,RN,,,0,0
1996,N00005551,Ernest J Istook,R,OK,5,Y,Y,RW,130384,99600,399980,169996
1996,N00008523,Stephen Wayne Hofman,R,MI,16, ,Y,RL,,5576,18050,12474
1996,N00005774,Olivia Coggin Eudaly,R,TX,24, , ,RL,2000,72177,184925,110748
1996,N00007657,Michael Minoru Fawn Liu,R,HI,1, , ,RN,,,0,0
1996,N00008308,H Harold Hardee,I,FL,2, , ,3L,,3436,5382,1946
2000,N00005073,Richard E Illyes,L,MO,1, , ,3N,,,0,
1996,N00008327,Joseph Dr Smith,R,FL,19, ,Y,RL,500,40500,102320,61320
1996,N00004010,Godfrey J Dillard,D,MI,15, ,Y,DL,,42841,78696,35855
2000,N00005015,John A Holmes Jr,R,MO,2, , ,RN,,,0,
2006,N00026296,Matt Connealy,D,NE,1, , ,DN,-2224,9750,20961,13435
1996,N00005431,James T Robinson,R,LA,5,Y,Y,RL,,8594,14267,5673
1996,N00002989,William Jack Sexton,R,AL,3, ,Y,RL,1250,14800,47703,31653
1996,N00001632,James G Blaine,D,PA,16,Y,Y,DL,12046,221950,452802,218806
2000,N00005078,Brian K Lundy,L,MO,2, , ,3N,,,0,
1996,N00008708,Berwick (Barry) P Babin,R,OR,1, , ,RL,,9147,18896,9749
1996,N00006925,Lamont Charles (Monty) Hempel,D,CA,33, , ,DN,,,0,0
1996,N00003844,Mark E Souder,R,IN,4,Y,Y,RW,143025,153126,579643,283492
1996,N00005732,Charles Wilson,D,TX,2, , ,DI,103750,12650,130200,13800
1996,N00006721,Charles Davis,D,CA,37, ,Y,DL,,50620,71105,20485
1996,N00007094,Robert L Hammock,R,CA,42, , ,RN,,,0,0
1996,N00007048,Luis Acle Jr,R,CA,50, , ,RN,,,0,0
1996,N00001156,Norma Grill,D,NY,3, , ,DN,1000,,1000,0
1996,N00006009,Eli Rene Ochoa,D,TX,15, , ,DN,,,385,385
1996,N00003472,Henry Grider Lackey,D,KY,1, , ,DL,,53685,107370,53685
1996,N00006755,Hans J Kugler,R,CA,36, ,Y,RL,,6200,6200,0
1996,N00002045,Tom Davis,R,VA,11,Y,Y,RW,464431,713180,2199627,1022016
1996,N00005151,Larry E Kinnamon Jr,D,MO,6, ,Y,DL,,5109,5759,650
1996,N00006459,Steve Owens,D,AZ,6,Y,Y,DL,326039,320613,1169106,522454
1996,N00001554,Audrie Zettick Schaller,R,PA,8, , ,RN,,,0,0
1996,N00002507,Annette Davis,R,GA,4, , ,RL,,327,3845,3518
1996,N00006442,John Jacob Rhodes III,R,AZ,1, , ,RN,,25000,25000,0
1996,N00001524,Richard J Piotrowski,L,PA,8,Y,Y,3L,,1450,6996,5546
1996,N00000780,John O III Bennett,R,NJ,12, ,Y,RL,37450,281654,697059,377955
1996,N00007144,Sally J Alexander,D,CA,45,Y,Y,DL,4832,6027,54538,43679
1996,N00008396,Richard A Dahl,R,IL,17, , ,RL,,10280,16795,6515
1996,N00003789,Nagarajan Ramakishnan,D,IN,6, ,Y,DL,,6676,23222,16546
1996,N00004383,Harvey Stower,D,WI,3, , ,DL,1000,2000,24339,21339
1996,N00005997,Mary Helen Berlanga,D,TX,27, ,Y,DL,6500,42975,111863,62388
1996,N00003753,Joseph H Hogsett,D,IN,2, , ,DL,1000,110,1220,110
1996,N00000256,Joe Moakley,D,MA,9,Y,Y,DW,360835,245155,996307,390317
1996,N00005965,Joseph Pierce Sullivan,D,TX,23, ,Y,DL,,850,1500,650
1996,N00005334,Gil Chapin,D,NE,3, , ,DL,,50,100,50
1996,N00008411,J Bradley Allamong,R,IN,3, ,Y,RL,,20167,40855,20688
1996,N00007347,Elsa C Cheung,R,CA,8, , ,RL,,1050,1650,600
1996,N00006805,Joan Milke Flores,R,CA,36, , ,RN,,,0,0
