,cycle,id,candidate_name,party,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
0,2000,N00005009,Richmond A Soluade Sr (R),R,MO01, ,Y,RL,,,0,
1,1996,N00004126,Mark Alan Behnke (R),R,MI07, , ,RN,,,0,0.0
2,1996,N00000718,Jim Ford (R),R,NJ10, , ,RN,,,0,0.0
3,1996,N00005551,Ernest J Istook (R),R,OK05,Y,Y,RW,130384.0,99600.0,399980,169996.0
4,1996,N00008523,Stephen Wayne Hofman (R),R,MI16, ,Y,RL,,5576.0,18050,12474.0
5,1996,N00005774,Olivia Coggin Eudaly (R),R,TX24, , ,RL,2000.0,72177.0,184925,110748.0
6,1996,N00007657,Michael Minoru Fawn Liu (R),R,HI01, , ,RN,,,0,0.0
7,1996,N00008308,H Harold Hardee (I),I,FL02, , ,3L,,3436.0,5382,1946.0
8,2000,N00005073,Richard E Illyes (L),L,MO01, , ,3N,,,0,
9,1996,N00008327,Joseph Dr Smith (R),R,FL19, ,Y,RL,500.0,40500.0,102320,61320.0
10,1996,N00004010,Godfrey J Dillard (D),D,MI15, ,Y,DL,,42841.0,78696,35855.0
11,2000,N00005015,John A Holmes Jr (R),R,MO02, , ,RN,,,0,
12,2006,N00026296,Matt Connealy (D),D,NE01, , ,DN,-2224.0,9750.0,20961,13435.0
13,1996,N00005431,James T Robinson (R),R,LA05,Y,Y,RL,,8594.0,14267,5673.0
14,1996,N00002989,William Jack Sexton (R),R,AL03, ,Y,RL,1250.0,14800.0,47703,31653.0
15,1996,N00001632,James G Blaine (D),D,PA16,Y,Y,DL,12046.0,221950.0,452802,218806.0
16,2000,N00005078,Brian K Lundy (L),L,MO02, , ,3N,,,0,
17,1996,N00008708,Berwick (Barry) P Babin (R),R,OR01, , ,RL,,9147.0,18896,9749.0
18,1996,N00006925,Lamont Charles (Monty) Hempel (D),D,CA33, , ,DN,,,0,0.0
19,1996,N00003844,Mark E Souder (R),R,IN04,Y,Y,RW,143025.0,153126.0,579643,283492.0
20,1996,N00005732,Charles Wilson (D),D,TX02, , ,DI,103750.0,12650.0,130200,13800.0
21,1996,N00006721,Charles Davis (D),D,CA37, ,Y,DL,,50620.0,71105,20485.0
22,1996,N00007094,Robert L Hammock (R),R,CA42, , ,RN,,,0,0.0
23,1996,N00007048,Luis Acle Jr (R),R,CA50, , ,RN,,,0,0.0
24,1996,N00001156,Norma Grill (D),D,NY03, , ,DN,1000.0,,1000,0.0
25,1996,N00006009,Eli Rene Ochoa (D),D,TX15, , ,DN,,,385,385.0
26,1996,N00003472,Henry Grider Lackey (D),D,KY01, , ,DL,,53685.0,107370,53685.0
27,1996,N00006755,Hans J Kugler (R),R,CA36, ,Y,RL,,6200.0,6200,0.0
28,1996,N00002045,Tom Davis (R),R,VA11,Y,Y,RW,464431.0,713180.0,2199627,1022016.0
29,1996,N00005151,Larry E Kinnamon Jr (D),D,MO06, ,Y,DL,,5109.0,5759,650.0
30,1996,N00006459,Steve Owens (D),D,AZ06,Y,Y,DL,326039.0,320613.0,1169106,522454.0
31,1996,N00001554,Audrie Zettick Schaller (R),R,PA08, , ,RN,,,0,0.0
32,1996,N00002507,Annette Davis (R),R,GA04, , ,RL,,327.0,3845,3518.0
33,1996,N00006442,John Jacob Rhodes III (R),R,AZ01, , ,RN,,25000.0,25000,0.0
34,1996,N00001524,Richard J Piotrowski (L),L,PA08,Y,Y,3L,,1450.0,6996,5546.0
