,cycle,id,candidate_name,party,state,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
0,1996,N00004451,Stephen Bonsal Young (R),R,MNS1, ,Y,RL,492.0,97408.0,264254,166354.0
1,1996,N00001670,Raymond J Clatworthy (R),R,DES2,Y,Y,RL,202815.0,618935.0,1636414,814664.0
2,1996,N00000525,Gavin Terence Mills (I),I,VTS1, , ,3L,,266.0,266,0.0
3,1996,N00006284,James A McClure (R),R,IDS1, , ,RN,,,0,0.0
4,1996,N00000421,Dick Swett (D),D,NHS2,Y,Y,DL,528713.0,1161345.0,3020794,1330736.0
5,1996,N00004481,Gen Olson (R),R,MNS2, , ,RN,,,50,50.0
6,1996,N00000871,Jeffrey Bell (R),R,NJS1, , ,RN,,,0,0.0
7,1996,N00004402,Thomas M Fitzpatrick (R),R,WIS1, , ,RN,,,0,0.0
8,1996,N00007206,John F Seymour (R),R,CAS2, , ,RN,0.0,,0,0.0
9,1996,N00003989,Carl D Pursell (R),R,MIS2, , ,RN,,,0,0.0
10,1996,N00005165,John Ashcroft (R),R,MOS2, , ,RW,-20076.0,76499.0,131498,75075.0
11,1996,N00008968,Henry J (Hank) Blake Jr (D),D,AKS1, ,Y,DL,,1750.0,3895,2145.0
12,1996,N00005694,Michael Troy Mata (R),R,TXS2, , ,RN,,,0,0.0
13,1996,N00005549,Warren Antony Caldwell (R),R,OKS2, , ,RN,,,0,0.0
14,1996,N00004441,Monti A Moreno (R),R,MNS1, ,Y,RL,,6400.0,15400,9000.0
15,2012,N00026183,Tom Ravenel (R),R,SCS1, , ,RN,,,0,0.0
16,2012,N00028058,James Webb (D),D,VAS1, , ,DI,-6000.0,-39000.0,-44185,815.0
17,2012,N00008519,Scott Boman (L),L,MIS2,Y,Y,3C,1000.0,4450.0,9232,3782.0
18,2012,N00027691,Lise C Van Susteren (D),D,MDS1, , ,DN,,,0,0.0
19,2010,N00030702,John Sharp (D),D,TXS2, , ,DN,6000.0,821223.0,880960,53737.0
20,2012,N00031173,Alan Khazei (D),D,MAS1, ,Y,DN,,829036.0,903665,74629.0
21,2000,N00005202,Marc Perkel (R),R,MOS2, , ,RC,,,0,
22,2012,N00006182,Bob Schaffer (R),R,COS2, , ,RN,,,0,0.0
23,2012,N00034973,Ken Kaplan (L),L,NJS1,Y,Y,3C,800.0,,800,0.0
24,2012,N00030795,RIck Wilson (R),R,MIS2, ,Y,RN,1000.0,250.0,1250,0.0
25,2012,N00030795,Rick Wilson (R),R,MIS2, , ,RC,1000.0,250.0,1250,0.0
26,2012,N00032821,Chet D. Traylor (R),R,LAS2, , ,RN,,,0,0.0
27,2012,N00032819,Jack Rooney (I),I,INS1,Y,Y,3L,,6000.0,6000,0.0
28,2012,N00031696,Mike Lee (R),R,UTS2, , ,RI,142499.0,273620.0,454286,38167.0
29,2012,N00033263,Stanley Garza (D),D,TXS2, ,Y,DN,,,0,0.0
30,2012,N00030766,Robert Allen Taylor (3),3,WIS2, , ,3N,,,0,0.0
31,2012,N00026271,Steve Novick (D),D,ORS1, , ,DN,,,0,0.0
32,2012,N00026271,Steve Novick (D),D,ORS1, , ,DN,,,0,0.0
33,2012,N00033343,Dan 'Doc' Severson (R),R,MNS2, ,Y,RN,500.0,110637.0,181049,69912.0
34,2012,N00033031,Jamie L. Radtke (R),R,VAS1, ,Y,RL,2500.0,425301.0,648141,220340.0
35,2012,N00034220,Terrence Modglin (I),I,VAS1,Y,Y,3L,,4131.0,5795,1664.0
36,2008,N00001764,Richard G Lugar (R),R,INS1, , ,RI,11000.0,442114.0,541303,88189.0
37,2008,N00009888,Lamar Alexander (R),R,TNS2,Y,Y,RW,1684869.0,3911380.0,5747547,151298.0
38,2008,N00029611,Rebekah Jean Kennedy (3),3,ARS1,Y,Y,3C,900.0,9395.0,12822,2527.0
39,2004,N00027087,Chuck Pennacchio (D),D,PAS2, , ,DN,,4200.0,16220,12020.0
40,2004,N00004221,Greg Ganske (R),R,IAS2, , ,RN,-2214.0,500.0,-814,900.0
41,2008,N00007815,Gordon H Smith (R),R,ORS1,Y,Y,RL,4114723.0,4920165.0,9661563,626675.0
42,2004,N00009926,Bill Nelson (D),D,FLS1, , ,DI,355655.0,1118212.0,2678569,1204702.0
43,2004,N00001128,Geraldine A Ferraro (D),D,NYS2, , ,DN,,500.0,500,0.0
44,2004,N00006202,Ben Nighthorse Campbell (R),R,COS1, , ,RI,385466.0,1118164.0,2791311,1287681.0
45,2008,N00009954,Lincoln D Chafee (R),R,RIS1, , ,RN,-6500.0,1500.0,-5000,0.0
46,2008,N00030393,Evan Michael Stachowski (I),I,MAS2, ,Y,3N,,710.0,710,0.0
47,2004,N00004428,Bob Welch (R),R,WIS2, ,Y,RL,60250.0,812044.0,2050397,1178103.0
48,2008,N00026322,Tony Strickland (R),R,CAS1, , ,RN,645.0,14500.0,15145,0.0
49,2004,N00026764,David M Beasley (R),R,SCS1, ,Y,RL,64250.0,2244611.0,4803313,2494452.0
50,2008,N00029615,Michael Gerrard Cassaro (D),D,KYS1, ,Y,DL,5000.0,46051.0,42200,-8851.0
51,2004,N00003036,Roger Bedford (D),D,ALS1, , ,DN,,9060.0,18645,9585.0
52,2004,N00026814,Bill Phillips (D),D,FLS2, ,Y,DN,,204608.0,213066,8458.0
53,2008,N00003389,Mitch McConnell (R),R,KYS1,Y,Y,RW,4853745.0,11082465.0,16826775,890565.0
54,2004,N00000968,Daniel Patrick Moynihan (D),D,NYS1, , ,DN,,-13000.0,-13000,0.0
55,2004,N00026754,Joan R Ruff (D),D,KSS2, ,Y,DN,589.0,89276.0,179355,89490.0
