cycle,senate,won,raised_total_1M,Dem,Other,Repub,state_rank
2000,0,0,0.0,0,0,1,29
2012,0,0,2.487392,0,0,1,21
2012,0,0,2.505483,0,0,1,3
2012,0,0,0.036102,0,0,1,30
2012,0,0,0.01471,0,0,1,10
2012,0,1,0.824826,0,0,1,17
2012,0,0,0.003535,0,1,0,24
2012,0,0,0.560974,0,0,1,32
2000,0,0,0.0,1,0,0,29
2012,0,0,0.030621,1,0,0,35
2012,0,1,0.884199,1,0,0,35
2012,0,0,0.043054,1,0,0,45
2012,0,0,0.606074,0,0,1,32
2012,0,0,-0.00035,1,0,0,30
2012,0,0,0.016958,0,0,1,28
2012,0,0,0.088141,0,0,1,32
2012,0,0,0.0,0,0,1,26
2012,0,0,7.961894,0,1,0,35
2012,0,1,0.700349,1,0,0,27
2012,0,0,0.14375,0,0,1,45
2012,0,0,0.023245,1,0,0,24
2012,0,0,0.002947,0,0,1,39
2012,0,0,0.060045,0,0,1,25
2012,0,0,0.0029,0,0,1,26
2012,0,0,0.904339,1,0,0,35
2012,0,1,2.175718,0,0,1,22
2012,0,0,0.016206,1,0,0,32
2012,0,0,0.044722,0,0,1,37
2012,0,0,0.761475,1,0,0,45
2012,0,0,0.005885,1,0,0,30
2012,0,0,0.00565,1,0,0,30
2012,0,0,0.008895,1,0,0,30
2012,0,0,0.043634,0,0,1,32
2012,0,0,0.037506,1,0,0,15
2012,0,1,0.888792,0,0,1,30
2012,0,0,0.18568,0,0,1,34
2012,0,0,0.035744,0,0,1,30
2012,0,0,0.009855,1,0,0,15
2012,0,1,0.59352,1,0,0,32
2012,0,1,2.809091,0,0,1,26
2012,0,0,0.11975,1,0,0,44
2012,0,0,0.257793,1,0,0,19
2012,0,0,0.208565,1,0,0,25
2012,0,0,0.005619,0,0,1,35
2012,0,0,0.01756,1,0,0,29
2012,0,0,0.045309,0,0,1,19
2012,0,0,0.0029,0,0,1,21
2000,0,0,0.0,0,1,0,29
2012,0,0,0.039459,1,0,0,35
2000,0,0,0.0,0,1,0,27
2012,0,0,0.124122,0,0,1,42
2012,0,1,1.030441,1,0,0,15
2012,0,0,0.038699,0,0,1,35
2012,0,0,0.024408,1,0,0,35
2004,0,0,0.005747,1,0,0,48
2008,0,0,0.004734,0,0,1,35
2004,0,0,3.294177,1,0,0,11
