cycle,cid,candidate_name,party,state,district,campaign,cycle_candidate,recip_code,nopacs,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2000,N00005009,Richmond A Soluade Sr,R,MO,MO-01,CON,Y,RL, ,,,0,
2000,N00005073,Richard E Illyes,L,MO,MO-01,CON, ,3N, ,,,0,
2000,N00005015,John A Holmes Jr,R,MO,MO-02,CON, ,RN, ,,,0,
2006,N00026296,Matt Connealy,D,NE,NE-01,CON, ,DN, ,-2224.0,9750.0,20961,13435.0
2000,N00005078,Brian K Lundy,L,MO,MO-02,CON, ,3N, ,,,0,
2012,N00026183,Tom Ravenel,R,SC,,SEN, ,RN, ,,,0,0.0
2012,N00030873,Jason Levesque,R,ME,ME-02,CON, ,RN, ,,,0,0.0
2012,N00032390,William J. Clegg,R,RI,RI-02,CON, ,RN, ,,,0,0.0
2012,N00029135,Manuel Flores,D,IL,IL-04,CON, ,DN, ,,,0,0.0
2012,N00027123,Mark W Thomas,D,NY,NY-27,CON, ,DN, ,,,0,0.0
2012,N00031589,Jonathan Paton,R,AZ,AZ-01,CON,Y,RL, ,1512575.0,871743.0,2487392,103074.0
2012,N00031623,Chip Cravaack,R,MN,MN-08,CON,Y,RL, ,1039956.0,959069.0,2505483,506458.0
2012,N00029162,Kirk Schuring,R,OH,OH-16,CON, ,RN, ,,,0,0.0
2012,N00028058,James Webb,D,VA,,SEN, ,DI, ,-6000.0,-39000.0,-44185,815.0
2012,N00018125,George Harper,R,TX,TX-14,CON,Y,RL, ,1000.0,35102.0,36102,0.0
2012,N00033646,William Mayo Yarbrough,R,OH,OH-12,CON,Y,RL, ,,9860.0,14710,4850.0
2012,N00027649,Tim Huelskamp,R,KS,KS-01,CON,Y,RW, ,433503.0,320583.0,824826,70740.0
2012,N00034513,Daniel Botelho,I,MA,MA-09,CON,Y,3L, ,,2260.0,3535,1275.0
2012,N00029224,Steve Greenberg,R,IL,IL-08,CON, ,RN, ,,,0,0.0
2012,N00033516,Joe Kaufman,R,FL,FL-23,CON,Y,RL, ,9500.0,131060.0,560974,420414.0
2012,N00033223,Dan Lewis,R,NM,NM-01,CON,Y,RN, ,,159900.0,166482,6582.0
2000,N00005012,Steven G Bailey,D,MO,MO-01,CON,Y,DL, ,,,0,
2012,N00034313,Clifford J. Smith,D,CA,CA-42,CON,Y,DL, ,,30471.0,30621,150.0
2012,N00031621,Shelley Madore,D,MN,MN-02,CON, ,DN, ,,4432.0,4472,40.0
2012,N00033750,Duchy Trachtenberg,D,MD,MD-06,CON,Y,DN, ,,43000.0,43000,0.0
2012,N00008519,Scott Boman,L,MI,,SEN,Y,3C, ,1000.0,4450.0,9232,3782.0
2012,N00031463,Larry Andre,R,CA,CA-39,CON, ,RN, ,,1524.0,1939,415.0
2012,N00012611,Mike Honda,D,CA,CA-17,CON,Y,DW, ,340312.0,483416.0,884199,60471.0
