id,candidate_name
N00005009,Richmond A Soluade Sr
N00000948,Lenora B Fulani
N00004126,Mark Alan Behnke
N00004451,Stephen Bonsal Young
N00001670,Raymond J Clatworthy
N00000718,Jim Ford
N00000525,Gavin Terence Mills
N00005551,Ernest J Istook
N00008523,Stephen Wayne Hofman
N00005774,Olivia Coggin Eudaly
N00007657,Michael Minoru Fawn Liu
N00008308,H Harold Hardee
N00005073,Richard E Illyes
N00008327,Joseph Dr Smith
N00006284,James A McClure
N00004010,Godfrey J Dillard
N00005015,John A Holmes Jr
N00026296,Matt Connealy
N00005431,James T Robinson
N00002989,William Jack Sexton
N00000421,Dick Swett
N00001632,James G Blaine
N00005078,Brian K Lundy
N00004481,Gen Olson
N00008708,Berwick (Barry) P Babin
N00006925,Lamont Charles (Monty) Hempel
N00003844,Mark E Souder
N00005732,Charles Wilson
N00006721,Charles Davis
N00007094,Robert L Hammock
N00007048,Luis Acle Jr
N00001156,Norma Grill
N00006009,Eli Rene Ochoa
N00000871,Jeffrey Bell
N00003472,Henry Grider Lackey
N00006755,Hans J Kugler
N00002045,Tom Davis
N00005151,Larry E Kinnamon Jr
N00006459,Steve Owens
N00001554,Audrie Zettick Schaller
N00002507,Annette Davis
N00004402,Thomas M Fitzpatrick
N00006442,John Jacob Rhodes III
N00001524,Richard J Piotrowski
N00000780,John O III Bennett
N00007144,Sally J Alexander
N00008396,Richard A Dahl
N00003789,Nagarajan Ramakishnan
N00004383,Harvey Stower
N00005997,Mary Helen Berlanga
N00003753,Joseph H Hogsett
N00007206,John F Seymour
N00000256,Joe Moakley
N00005965,Joseph Pierce Sullivan
N00005334,Gil Chapin
N00008411,J Bradley Allamong
N00003989,Carl D Pursell
N00000269,Michael S Dukakis
N00007347,Elsa C Cheung
N00005165,John Ashcroft
N00006805,Joan Milke Flores
N00008572,Gary E Trawick
N00000694,Kathleen A Donovan
N00008968,Henry J (Hank) Blake Jr
N00005694,Michael Troy Mata
N00005549,Warren Antony Caldwell
N00005681,Pete Sessions
N00008722,Lawrence K Duquesne
N00007778,Fred F Girod
N00005229,Greg J Schoofs
N00004441,Monti A Moreno
N00002729,Bill Sutton
N00008333,Newt Gingrich
N00002074,John A Rollison III
N00026183,Tom Ravenel
N00030873,Jason Levesque
N00033415,Hector J. Ferrer
N00032390,William J. Clegg
N00029135,Manuel Flores
N00027123,Mark W Thomas
N00031589,Jonathan Paton
N00031623,Chip Cravaack
N00005761,Willie Felix Carter
N00029162,Kirk Schuring
N00028058,James Webb
N00018125,George Harper
N00033646,William Mayo Yarbrough
N00027649,Tim Huelskamp
N00034513,Daniel Botelho
N00029224,Steve Greenberg
N00033516,Joe Kaufman
N00033223,Dan Lewis
N00005012,Steven G Bailey
N00034313,Clifford J. Smith
N00031621,Shelley Madore
N00033750,Duchy Trachtenberg
N00008519,Scott Boman
N00031463,Larry Andre
N00012611,Mike Honda
N00034412,Bruce Peller
N00030593,Marta Ann Jorgensen
N00031887,David Rivera
N00033917,David Cantu
N00030737,Stephen J. Bacon
N00001629,Pat Sellers
N00033288,Dave Wallace
N00031758,Ralph Bernard Reeves III
N00028030,Rosie Avila
N00034315,Bob Crowder
N00008566,Leo Hudetz
N00027691,Lise C Van Susteren
N00030702,John Sharp
N00031338,Dee Adcock
N00035081,Ignacia T. DeMapan
N00005143,Elizabeth Ann Dulaney
N00034148,Patrick Shearer
N00030069,Delia Lopez
N00033579,Richardjason Satawk Harris
N00034495,Bill Bloomfield
N00033395,Dan Kildee
N00030336,Sheldon Schafer
N00005157,Gary Nodler
N00027944,Pat Baig
N00033470,Jeff Hunt
N00009908,Rudolph W Giuliani
N00031173,Alan Khazei
N00034152,Jacqueline Smith
N00005202,Marc Perkel
N00006182,Bob Schaffer
N00034042,Bill Shein
N00033266,Michael J. Williams
N00033910,James Lawrence Mader
N00032115,Jesse L. Young
N00034973,Ken Kaplan
N00025382,Jim Greenfield
N00034000,Jay Chen
N00031851,Steve Bryles
N00030795,RIck Wilson
N00002511,Cynthia McKinney
N00005089,Thad Bullock
N00032821,Chet D. Traylor
N00031681,David McKinley
N00029931,Douglas Alan Pharr
N00033803,Jonathan Michael Snow
N00034250,Paula Aboud
N00024857,John Courage
