cycle,id,candidate_name,party,state,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2000,N00005009,Richmond A Soluade Sr,R,MO,1, ,Y,RL,,,0,
2000,N00005073,Richard E Illyes,L,MO,1, , ,3N,,,0,
2000,N00005015,John A Holmes Jr,R,MO,2, , ,RN,,,0,
2006,N00026296,Matt Connealy,D,NE,1, , ,DN,-2224.0,9750.0,20961,13435.0
2000,N00005078,Brian K Lundy,L,MO,2, , ,3N,,,0,
2012,N00030873,Jason Levesque,R,ME,2, , ,RN,,,0,0.0
2012,N00032390,William J. Clegg,R,RI,2, , ,RN,,,0,0.0
2012,N00029135,Manuel Flores,D,IL,4, , ,DN,,,0,0.0
2012,N00027123,Mark W Thomas,D,NY,27, , ,DN,,,0,0.0
2012,N00031589,Jonathan Paton,R,AZ,1,Y,Y,RL,1512575.0,871743.0,2487392,103074.0
2012,N00031623,Chip Cravaack,R,MN,8,Y,Y,RL,1039956.0,959069.0,2505483,506458.0
2012,N00029162,Kirk Schuring,R,OH,16, , ,RN,,,0,0.0
2012,N00018125,George Harper,R,TX,14, ,Y,RL,1000.0,35102.0,36102,0.0
2012,N00033646,William Mayo Yarbrough,R,OH,12, ,Y,RL,,9860.0,14710,4850.0
2012,N00027649,Tim Huelskamp,R,KS,1,Y,Y,RW,433503.0,320583.0,824826,70740.0
2012,N00034513,Daniel Botelho,I,MA,9,Y,Y,3L,,2260.0,3535,1275.0
2012,N00029224,Steve Greenberg,R,IL,8, , ,RN,,,0,0.0
2012,N00033516,Joe Kaufman,R,FL,23, ,Y,RL,9500.0,131060.0,560974,420414.0
2012,N00033223,Dan Lewis,R,NM,1, ,Y,RN,,159900.0,166482,6582.0
2000,N00005012,Steven G Bailey,D,MO,1, ,Y,DL,,,0,
2012,N00034313,Clifford J. Smith,D,CA,42, ,Y,DL,,30471.0,30621,150.0
2012,N00031621,Shelley Madore,D,MN,2, , ,DN,,4432.0,4472,40.0
2012,N00033750,Duchy Trachtenberg,D,MD,6, ,Y,DN,,43000.0,43000,0.0
2012,N00031463,Larry Andre,R,CA,39, , ,RN,,1524.0,1939,415.0
2012,N00012611,Mike Honda,D,CA,17,Y,Y,DW,340312.0,483416.0,884199,60471.0
2012,N00034412,Bruce Peller,D,NC,5, ,Y,DL,,43054.0,43054,0.0
2012,N00030593,Marta Ann Jorgensen,D,CA,24, , ,DN,,,0,0.0
2012,N00031887,David Rivera,R,FL,26,Y,Y,RL,161673.0,429750.0,606074,14651.0
2012,N00033917,David Cantu,D,TX,15, ,Y,DL,,5450.0,-350,-5800.0
2012,N00030737,Stephen J. Bacon,3,FL,7, , ,3N,,,0,0.0
2012,N00001629,Pat Sellers,R,PA,6, , ,RN,,,0,0.0
2012,N00033288,Dave Wallace,R,MD,8, ,Y,RL,,10750.0,16958,6208.0
2012,N00031758,Ralph Bernard Reeves III,R,NC,13, , ,RN,,1295.0,1295,0.0
2012,N00028030,Rosie Avila,R,CA,47, , ,RN,150.0,,150,0.0
2012,N00034315,Bob Crowder,R,FL,18, ,Y,RL,,65875.0,88141,22266.0
2012,N00031338,Dee Adcock,R,PA,13, , ,RN,,,0,0.0
2000,N00005143,Elizabeth Ann Dulaney,3,MO,5, , ,3N,,,0,
2012,N00034148,Patrick Shearer,D,TX,35, ,Y,DN,,9750.0,11670,1920.0
2012,N00030069,Delia Lopez,R,OR,3, ,Y,RL,,,0,0.0
2012,N00034495,Bill Bloomfield,I,CA,33,Y,Y,3L,,7948685.0,7961894,13209.0
2012,N00033395,Dan Kildee,D,MI,5,Y,Y,DW,327957.0,372392.0,700349,0.0
2012,N00030336,Sheldon Schafer,3,IL,18, , ,3N,,,0,0.0
2000,N00005157,Gary Nodler,R,MO,7, , ,RN,,,0,
2012,N00027944,Pat Baig,R,TX,22, , ,RN,,,0,0.0
2012,N00033470,Jeff Hunt,R,NC,11, ,Y,RL,,127859.0,143750,15891.0
2012,N00034152,Jacqueline Smith,R,UT,1, ,Y,RN,,8428.0,14532,6104.0
